Time (ms),Rumble Motor (V)
-0.01241650,0.20148320
0.00806350,1.46305700
0.02854350,1.40977200
0.04902350,1.40977200
0.06950350,1.37424900
0.08998350,1.39201000
0.11046350,1.33872500
0.13094350,1.35648700
0.15142350,1.37424900
0.17190350,1.40977200
0.19238350,1.37424900
0.21286350,1.33872500
0.23334350,1.35648700
0.25382350,1.33872500
0.27430350,1.33872500
0.29478350,1.33872500
0.31526350,1.35648700
0.33574350,1.39201000
0.35622350,1.32090200
0.37670350,1.33872500
0.39718350,1.35648700
0.41766350,1.32090200
0.43814350,1.32090200
0.45862350,1.33872500
0.47910350,1.32090200
0.49958350,1.37424900
0.52006350,1.33872500
0.54054350,1.32090200
0.56102350,1.32090200
0.58150350,1.30314000
0.60198350,1.32090200
0.62246350,1.32090200
0.64294350,1.33872500
0.66342350,1.33872500
0.68390350,1.32090200
0.70438350,1.32090200
0.72486350,1.30314000
0.74534350,1.32090200
0.76582350,1.32090200
0.78630350,1.30314000
0.80678350,1.28537900
0.82726350,1.35648700
0.84774350,1.32090200
0.86822350,1.28537900
0.88870350,1.28537900
0.90918350,1.30314000
0.92966350,1.28537900
0.95014350,1.28537900
0.97062350,1.28537900
0.99110350,1.30314000
1.01158350,1.32090200
1.03206350,1.32090200
1.05254350,1.30314000
1.07302350,1.32090200
1.09350350,1.32090200
1.11398350,1.32090200
1.13446349,1.33872500
1.15494349,1.33872500
1.17542349,1.33872500
1.19590349,1.33872500
1.21638349,1.33872500
1.23686349,1.33872500
1.25734349,1.35648700
1.27782349,1.32090200
1.29830349,1.33872500
1.31878349,1.30314000
1.33926349,1.33872500
1.35974349,1.33872500
1.38022349,1.32090200
1.40070349,1.32090200
1.42118349,1.33872500
1.44166349,1.33872500
1.46214349,1.32090200
1.48262349,1.30314000
1.50310349,1.32090200
1.52358349,1.32090200
1.54406349,1.33872500
1.56454349,1.33872500
1.58502349,1.32090200
1.60550349,1.32090200
1.62598349,1.35648700
1.64646349,1.32090200
1.66694349,1.32090200
1.68742349,1.28537900
1.70790349,1.30314000
1.72838349,1.32090200
1.74886349,1.32090200
1.76934349,1.33872500
1.78982349,1.35648700
1.81030349,1.33872500
1.83078349,1.33872500
1.85126349,1.33872500
1.87174349,1.33872500
1.89222349,1.33872500
1.91270349,1.32090200
1.93318349,1.32090200
1.95366349,1.33872500
1.97414349,1.35648700
1.99462349,1.33872500
2.01510349,1.32090200
2.03558349,1.33872500
2.05606349,1.33872500
2.07654349,1.32090200
2.09702349,1.33872500
2.11750349,1.33872500
2.13798349,1.32090200
2.15846349,1.32090200
2.17894349,1.33872500
2.19942349,1.35648700
2.21990349,1.33872500
2.24038349,1.33872500
2.26086349,1.32090200
2.28134349,1.33872500
2.30182349,1.32090200
2.32230349,1.33872500
2.34278349,1.32090200
2.36326349,1.35648700
2.38374349,1.35648700
2.40422349,1.33872500
2.42470349,1.33872500
2.44518349,1.33872500
2.46566349,1.35648700
2.48614349,1.33872500
2.50662349,1.33872500
2.52710349,1.32090200
2.54758349,1.33872500
2.56806349,1.32090200
2.58854349,1.33872500
2.60902349,1.37424900
2.62950349,1.35648700
2.64998349,1.33872500
2.67046349,1.33872500
2.69094349,1.33872500
2.71142349,1.32090200
2.73190349,1.33872500
2.75238349,1.33872500
2.77286349,1.32090200
2.79334348,1.30314000
2.81382348,1.28537900
2.83430348,1.26761700
2.85478348,1.28537900
2.87526348,1.26761700
2.89574348,1.26761700
2.91622348,1.26761700
2.93670348,1.26761700
2.95718348,1.26761700
2.97766348,1.30314000
2.99814348,1.33872500
3.01862348,1.35648700
3.03910348,1.33872500
3.05958348,1.33872500
3.08006348,1.33872500
3.10054348,1.30314000
3.12102348,1.28537900
3.14150348,1.32090200
3.16198348,1.33872500
3.18246348,1.32090200
3.20294348,1.30314000
3.22342348,1.32090200
3.24390348,1.32090200
3.26438348,1.30314000
3.28486348,1.30314000
3.30534348,1.32090200
3.32582348,1.32090200
3.34630348,1.32090200
3.36678348,1.33872500
3.38726348,1.33872500
3.40774348,1.30314000
3.42822348,1.24985500
3.44870348,1.26761700
3.46918348,1.32090200
3.48966348,1.30314000
3.51014348,1.26761700
3.53062348,1.28537900
3.55110348,1.35648700
3.57158348,1.33872500
3.59206348,1.32090200
3.61254348,1.37424900
3.63302348,1.35648700
3.65350348,1.33872500
3.67398348,1.33872500
3.69446348,1.35648700
3.71494348,1.33872500
3.73542348,1.35648700
3.75590348,1.35648700
3.77638348,1.35648700
3.79686348,1.35648700
3.81734348,1.35648700
3.83782348,1.33872500
3.85830348,1.33872500
3.87878348,1.33872500
3.89926348,1.30314000
3.91974348,1.30314000
3.94022348,1.30314000
3.96070348,1.30314000
3.98118348,1.32090200
4.00166348,1.32090200
4.02214348,1.33872500
4.04262348,1.32090200
4.06310348,1.32090200
4.08358348,1.30314000
4.10406348,1.32090200
4.12454348,1.30314000
4.14502348,1.28537900
4.16550348,1.28537900
4.18598348,1.28537900
4.20646348,1.30314000
4.22694348,1.30314000
4.24742348,1.30314000
4.26790348,1.30314000
4.28838348,1.28537900
4.30886348,1.30314000
4.32934348,1.30314000
4.34982348,1.28537900
4.37030348,1.33872500
4.39078348,1.33872500
4.41126348,1.35648700
4.43174347,1.35648700
4.45222347,1.35648700
4.47270347,1.33872500
4.49318347,1.33872500
4.51366347,1.33872500
4.53414347,1.35648700
4.55462347,1.32090200
4.57510347,1.35648700
4.59558347,1.32090200
4.61606347,1.35648700
4.63654347,1.35648700
4.65702347,1.30314000
4.67750347,1.32090200
4.69798347,1.30314000
4.71846347,1.35648700
4.73894347,1.35648700
4.75942347,1.35648700
4.77990347,1.35648700
4.80038347,1.35648700
4.82086347,1.33872500
4.84134347,1.35648700
4.86182347,1.35648700
4.88230347,1.35648700
4.90278347,1.35648700
4.92326347,1.35648700
4.94374347,1.33872500
4.96422347,1.32090200
4.98470347,1.32090200
5.00518347,1.32090200
5.02566347,1.32090200
5.04614347,1.33872500
5.06662347,1.33872500
5.08710347,1.30314000
5.10758347,1.32090200
5.12806347,1.30314000
5.14854347,1.30314000
5.16902347,1.30314000
5.18950347,1.32090200
5.20998347,1.33872500
5.23046347,1.30314000
5.25094347,1.30314000
5.27142347,1.33872500
5.29190347,1.33872500
5.31238347,1.35648700
5.33286347,1.33872500
5.35334347,1.37424900
5.37382347,1.35648700
5.39430347,1.33872500
5.41478347,1.33872500
5.43526347,1.33872500
5.45574347,1.33872500
5.47622347,1.35648700
5.49670347,1.37424900
5.51718347,1.35648700
5.53766347,1.33872500
5.55814347,1.28537900
5.57862347,1.28537900
5.59910347,1.33872500
5.61958347,1.35648700
5.64006347,1.35648700
5.66054347,1.33872500
5.68102347,1.35648700
5.70150347,1.32090200
5.72198347,1.32090200
5.74246347,1.33872500
5.76294347,1.32090200
5.78342347,1.26761700
5.80390347,1.32090200
5.82438347,1.32090200
5.84486347,1.32090200
5.86534347,1.30314000
5.88582347,1.35648700
5.90630347,1.33872500
5.92678347,1.33872500
5.94726347,1.32090200
5.96774347,1.33872500
5.98822347,1.33872500
6.00870347,1.33872500
6.02918347,1.32090200
6.04966347,1.33872500
6.07014346,1.33872500
6.09062346,1.33872500
6.11110346,1.35648700
6.13158346,1.35648700
6.15206346,1.33872500
6.17254346,1.33872500
6.19302346,1.33872500
6.21350346,1.32090200
6.23398346,1.32090200
6.25446346,1.32090200
6.27494346,1.32090200
6.29542346,1.32090200
6.31590346,1.33872500
6.33638346,1.35648700
6.35686346,1.35648700
6.37734346,1.35648700
6.39782346,1.35648700
6.41830346,1.35648700
6.43878346,1.35648700
6.45926346,1.35648700
6.47974346,1.33872500
6.50022346,1.33872500
6.52070346,1.32090200
6.54118346,1.33872500
6.56166346,1.35648700
6.58214346,1.33872500
6.60262346,1.35648700
6.62310346,1.33872500
6.64358346,1.33872500
6.66406346,1.33872500
6.68454346,1.32090200
6.70502346,1.32090200
6.72550346,1.37424900
6.74598346,1.33872500
6.76646346,1.33872500
6.78694346,1.33872500
6.80742346,1.33872500
6.82790346,1.33872500
6.84838346,1.35648700
6.86886346,1.33872500
6.88934346,1.35648700
6.90982346,1.32090200
6.93030346,1.28537900
6.95078346,1.28537900
6.97126346,1.33872500
6.99174346,1.35648700
7.01222346,1.35648700
7.03270346,1.35648700
7.05318346,1.33872500
7.07366346,1.33872500
7.09414346,1.35648700
7.11462346,1.33872500
7.13510346,1.35648700
7.15558346,1.35648700
7.17606346,1.35648700
7.19654346,1.33872500
7.21702346,1.30314000
7.23750346,1.30314000
7.25798346,1.33872500
7.27846346,1.32090200
7.29894346,1.33872500
7.31942346,1.33872500
7.33990346,1.32090200
7.36038346,1.30314000
7.38086346,1.30314000
7.40134346,1.33872500
7.42182346,1.30314000
7.44230346,1.30314000
7.46278346,1.32090200
7.48326346,1.30314000
7.50374346,1.28537900
7.52422346,1.32090200
7.54470346,1.33872500
7.56518346,1.33872500
7.58566346,1.32090200
7.60614346,1.35648700
7.62662346,1.32090200
7.64710346,1.35648700
7.66758346,1.35648700
7.68806346,1.35648700
7.70854346,1.33872500
7.72902345,1.28537900
7.74950345,1.30314000
7.76998345,1.32090200
7.79046345,1.30314000
7.81094345,1.28537900
7.83142345,1.28537900
7.85190345,1.35648700
7.87238345,1.33872500
7.89286345,1.33872500
7.91334345,1.35648700
7.93382345,1.37424900
7.95430345,1.35648700
7.97478345,1.35648700
7.99526345,1.35648700
8.01574345,1.32090200
8.03622345,1.33872500
8.05670345,1.35648700
8.07718345,1.35648700
8.09766345,1.33872500
8.11814345,1.32090200
8.13862345,1.33872500
8.15910345,1.37424900
8.17958345,1.35648700
8.20006345,1.33872500
8.22054345,1.33872500
8.24102345,1.33872500
8.26150345,1.39201000
8.28198345,1.35648700
8.30246345,1.35648700
8.32294345,1.37424900
8.34342345,1.39201000
8.36390345,1.39201000
8.38438345,1.39201000
8.40486345,1.37424900
8.42534345,1.39201000
8.44582345,1.35648700
8.46630345,1.35648700
8.48678345,1.37424900
8.50726345,1.33872500
8.52774345,1.35648700
8.54822345,1.32090200
8.56870345,1.33872500
8.58918345,1.35648700
8.60966345,1.35648700
8.63014345,1.33872500
8.65062345,1.35648700
8.67110345,1.35648700
8.69158345,1.33872500
8.71206345,1.33872500
8.73254345,1.33872500
8.75302345,1.33872500
8.77350345,1.33872500
8.79398345,1.33872500
8.81446345,1.33872500
8.83494345,1.35648700
8.85542345,1.33872500
8.87590345,1.35648700
8.89638345,1.35648700
8.91686345,1.35648700
8.93734345,1.33872500
8.95782345,1.35648700
8.97830345,1.33872500
8.99878345,1.33872500
9.01926345,1.35648700
9.03974345,1.33872500
9.06022345,1.33872500
9.08070345,1.33872500
9.10118345,1.32090200
9.12166345,1.32090200
9.14214345,1.33872500
9.16262345,1.32090200
9.18310345,1.37424900
9.20358345,1.33872500
9.22406345,1.33872500
9.24454345,1.35648700
9.26502345,1.33872500
9.28550345,1.35648700
9.30598345,1.35648700
9.32646345,1.30314000
9.34694345,1.32090200
9.36742344,1.32090200
9.38790344,1.30314000
9.40838344,1.33872500
9.42886344,1.32090200
9.44934344,1.32090200
9.46982344,1.35648700
9.49030344,1.35648700
9.51078344,1.39201000
9.53126344,1.39201000
9.55174344,1.35648700
9.57222344,1.37424900
9.59270344,1.37424900
9.61318344,1.35648700
9.63366344,1.35648700
9.65414344,1.35648700
9.67462344,1.35648700
9.69510344,1.35648700
9.71558344,1.37424900
9.73606344,1.33872500
9.75654344,1.35648700
9.77702344,1.37424900
9.79750344,1.37424900
9.81798344,1.37424900
9.83846344,1.35648700
9.85894344,1.35648700
9.87942344,1.35648700
9.89990344,1.33872500
9.92038344,1.35648700
9.94086344,1.33872500
9.96134344,1.35648700
9.98182344,1.33872500
10.00230344,1.35648700
10.02278344,1.35648700
10.04326344,1.37424900
10.06374344,1.35648700
10.08422344,1.35648700
10.10470344,1.33872500
10.12518344,1.35648700
10.14566344,1.35648700
10.16614344,1.33872500
10.18662344,1.33872500
10.20710344,1.33872500
10.22758344,1.33872500
10.24806344,1.35648700
10.26854344,1.35648700
10.28902344,1.35648700
10.30950344,1.35648700
10.32998344,1.35648700
10.35046344,1.33872500
10.37094344,1.35648700
10.39142344,1.37424900
10.41190344,1.37424900
10.43238344,1.35648700
10.45286344,1.35648700
10.47334344,1.35648700
10.49382344,1.33872500
10.51430344,1.33872500
10.53478344,1.37424900
10.55526344,1.35648700
10.57574344,1.33872500
10.59622344,1.33872500
10.61670344,1.35648700
10.63718344,1.35648700
10.65766344,1.35648700
10.67814344,1.35648700
10.69862344,1.35648700
10.71910344,1.35648700
10.73958344,1.32090200
10.76006344,1.35648700
10.78054344,1.35648700
10.80102344,1.35648700
10.82150344,1.33872500
10.84198344,1.32090200
10.86246344,1.33872500
10.88294344,1.33872500
10.90342344,1.37424900
10.92390344,1.35648700
10.94438344,1.37424900
10.96486344,1.35648700
10.98534344,1.33872500
11.00582343,1.32090200
11.02630343,1.37424900
11.04678343,1.33872500
11.06726343,1.32090200
11.08774343,1.33872500
11.10822343,1.33872500
11.12870343,1.35648700
11.14918343,1.35648700
11.16966343,1.35648700
11.19014343,1.35648700
11.21062343,1.33872500
11.23110343,1.35648700
11.25158343,1.33872500
11.27206343,1.32090200
11.29254343,1.33872500
11.31302343,1.35648700
11.33350343,1.39201000
11.35398343,1.39201000
11.37446343,1.39201000
11.39494343,1.39201000
11.41542343,1.37424900
11.43590343,1.37424900
11.45638343,1.39201000
11.47686343,1.37424900
11.49734343,1.37424900
11.51782343,1.35648700
11.53830343,1.35648700
11.55878343,1.35648700
11.57926343,1.35648700
11.59974343,1.35648700
11.62022343,1.35648700
11.64070343,1.33872500
11.66118343,1.33872500
11.68166343,1.35648700
11.70214343,1.35648700
11.72262343,1.37424900
11.74310343,1.35648700
11.76358343,1.35648700
11.78406343,1.35648700
11.80454343,1.35648700
11.82502343,1.33872500
11.84550343,1.33872500
11.86598343,1.32090200
11.88646343,1.37424900
11.90694343,1.37424900
11.92742343,1.39201000
11.94790343,1.40977200
11.96838343,1.39201000
11.98886343,1.37424900
12.00934343,1.37424900
12.02982343,1.33872500
12.05030343,1.35648700
12.07078343,1.35648700
12.09126343,1.37424900
12.11174343,1.35648700
12.13222343,1.35648700
12.15270343,1.33872500
12.17318343,1.33872500
12.19366343,1.35648700
12.21414343,1.33872500
12.23462343,1.37424900
12.25510343,1.33872500
12.27558343,1.35648700
12.29606343,1.35648700
12.31654343,1.33872500
12.33702343,1.33872500
12.35750343,1.35648700
12.37798343,1.33872500
12.39846343,1.33872500
12.41894343,1.30314000
12.43942343,1.30314000
12.45990343,1.32090200
12.48038343,1.32090200
12.50086343,1.30314000
12.52134343,1.33872500
12.54182343,1.35648700
12.56230343,1.33872500
12.58278343,1.35648700
12.60326343,1.35648700
12.62374343,1.37424900
12.64422343,1.37424900
12.66470342,1.37424900
12.68518342,1.37424900
12.70566342,1.35648700
12.72614342,1.35648700
12.74662342,1.35648700
12.76710342,1.35648700
12.78758342,1.33872500
12.80806342,1.35648700
12.82854342,1.35648700
12.84902342,1.35648700
12.86950342,1.33872500
12.88998342,1.35648700
